categoria_ruralidad_2024,cod_natujur,count_a,count_de,departamento,dinamica_2024,divipola,documento_justificativo,estado_folio,fecha_apertura_texto,fecha_radica_texto,matricula,municipio,nombre_natujur,num_anotacion,orip,pk,predios_nuevos,tiene_mas_de_un_valor,tiene_valor,tipo_predio_zona,valor,year_radica
Ciudades y aglomeraciones,901,1,0,BOGOTÁ D.C.,0,11001,01-ESCRITURA 3294 DE 10-07-2018; NOTARIA TRECE DE BOGOTA D. C.,,,2018-07-11 00:00:00,50S-40730729,BOGOTÁ D.C.,ACLARACIÓN,11,50S,11001-50S-40730729-00011-00901-2018,0,0,0,URBANO,,2018
Ciudades y aglomeraciones,901,1,0,BOGOTÁ D.C.,0,11001,01-ESCRITURA 2474 DE 15-05-2018; NOTARIA TRECE DE BOGOTA D. C.,,,2018-07-11 00:00:00,50S-40730765,BOGOTÁ D.C.,ACLARACIÓN,8,50S,11001-50S-40730765-00008-00901-2018,0,0,0,URBANO,,2018
Ciudades y aglomeraciones,901,1,0,BOGOTÁ D.C.,0,11001,01-ESCRITURA 3294 DE 10-07-2018; NOTARIA TRECE DE BOGOTA D. C.,,,2018-07-11 00:00:00,50S-40730765,BOGOTÁ D.C.,ACLARACIÓN,9,50S,11001-50S-40730765-00009-00901-2018,0,0,0,URBANO,,2018
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 2104 DE 30-07-2018; NOTARIA SEGUNDA DE BOGOTA D. C.,,,2018-08-16 00:00:00,50S-61128,BOGOTÁ D.C.,COMPRAVENTA,14,50S,11001-50S-061128-00014-00125-2018,0,0,0,URBANO,,2018
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 104 DE 06-12-2019; NOTARIA UNICA DE PAZ DE ARIPORO,,,2020-02-11 00:00:00,50S-80096,BOGOTÁ D.C.,COMPRAVENTA,12,50S,11001-50S-080096-00012-00125-2020,0,0,0,URBANO,,2020
Ciudades y aglomeraciones,125,2,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 3260 DE 12-07-2018; NOTARIA NOVENA DE BOGOTA D. C.,,,2018-10-04 00:00:00,50S-382996,BOGOTÁ D.C.,COMPRAVENTA,21,50S,11001-50S-382996-00021-00125-2018,0,0,0,URBANO,,2018
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 876 DE 11-04-2019; NOTARIA TERCERA DE BOGOTA D. C.,,,2019-09-09 00:00:00,50S-40226005,BOGOTÁ D.C.,COMPRAVENTA,17,50S,11001-50S-40226005-00017-00125-2019,0,0,0,URBANO,,2019
Ciudades y aglomeraciones,901,1,0,BOGOTÁ D.C.,0,11001,01-ESCRITURA 2188 DE 15-08-2018; NOTARIA QUINTA DE BOGOTA D. C.,,,2018-08-29 00:00:00,50S-40226677,BOGOTÁ D.C.,ACLARACIÓN,2,50S,11001-50S-40226677-00002-00901-2018,0,0,0,URBANO,,2018
Ciudades y aglomeraciones,901,2,0,BOGOTÁ D.C.,0,11001,01-ESCRITURA 2082 DE 30-07-2018; NOTARIA TREINTA Y DOS DE BOGOTA D. C.,,,2018-08-13 00:00:00,50S-40356841,BOGOTÁ D.C.,ACLARACIÓN,6,50S,11001-50S-40356841-00006-00901-2018,0,0,0,URBANO,,2018
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 231 DE 07-02-2020; NOTARIA PRIMERA DE BOGOTA D. C.,,,2020-05-22 00:00:00,50S-40515453,BOGOTÁ D.C.,COMPRAVENTA,9,50S,11001-50S-40515453-00009-00125-2020,0,0,0,URBANO,,2020
Ciudades y aglomeraciones,901,1,0,BOGOTÁ D.C.,0,11001,01-ESCRITURA 30 DE 19-01-2023; NOTARIA UNICA DE TABIO,,1973-04-09 00:00:00,2023-02-13 00:00:00,50C-58328,BOGOTÁ D.C.,ACLARACIÓN,17,50C,11001-50C-058328-00017-00901-2023,0,0,0,URBANO,,2023
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 2267 DE 21-08-2018; NOTARIA QUINTA DE BOGOTA D. C.,,,2018-09-03 00:00:00,50S-40702270,BOGOTÁ D.C.,COMPRAVENTA,9,50S,11001-50S-40702270-00009-00125-2018,0,0,0,URBANO,,2018
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 2880 DE 10-09-2019; NOTARIA CUARENTA DE BOGOTA D. C.,,,2019-09-24 00:00:00,50S-40702270,BOGOTÁ D.C.,COMPRAVENTA,10,50S,11001-50S-40702270-00010-00125-2019,0,0,0,URBANO,,2019
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 885 DE 10-02-2017; NOTARIA TREINTA Y OCHO DE BOGOTA D. C.,,1972-01-25 00:00:00,2017-02-27 00:00:00,50C-7143,BOGOTÁ D.C.,COMPRAVENTA,32,50C,11001-50C-007143-00032-00125-2017,0,0,0,URBANO,,2017
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 6890 DE 07-12-2022; NOTARIA TRECE DE BOGOTA D.C.,,1972-01-25 00:00:00,2023-02-10 00:00:00,50C-7144,BOGOTÁ D.C.,COMPRAVENTA,24,50C,11001-50C-007144-00024-00125-2023,0,0,1,URBANO,280000000,2023
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 2844 DE 14-11-2023; NOTARIA SEGUNDA DE BOGOTA D.C.,,1972-02-08 00:00:00,2023-11-29 00:00:00,50C-10059,BOGOTÁ D.C.,COMPRAVENTA,21,50C,11001-50C-010059-00021-00125-2023,0,0,1,URBANO,269000000,2023
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 5495 DE 06-12-2019; NOTARIA CUARENTA Y OCHO DE BOGOTA D.C.,,1972-04-12 00:00:00,2019-12-20 00:00:00,50C-24664,BOGOTÁ D.C.,COMPRAVENTA,20,50C,11001-50C-024664-00020-00125-2019,0,0,0,URBANO,,2019
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 1606 DE 16-10-2016; NOTARIA VEINTISEIS DE BOGOTA D. C.,,1972-03-29 00:00:00,2017-01-26 00:00:00,50C-28382,BOGOTÁ D.C.,COMPRAVENTA,20,50C,11001-50C-028382-00020-00125-2017,0,0,0,URBANO,,2017
Ciudades y aglomeraciones,304,1,0,BOGOTÁ D.C.,0,11001,01-ESCRITURA 1606 DE 16-10-2016; NOTARIA VEINTISEIS DE BOGOTA D. C.,,1972-03-29 00:00:00,2017-01-26 00:00:00,50C-28382,BOGOTÁ D.C.,AFECTACIÓN A VIVIENDA FAMILIAR,21,50C,11001-50C-028382-00021-00304-2017,0,0,0,URBANO,,2017
Ciudades y aglomeraciones,151,1,1,BOGOTÁ D.C.,0,11001,01-ESCRITURA 2746 DE 18-02-2016; NOTARIA VEINTINUEVE DE BOGOTA D. C.,,1972-04-19 00:00:00,2016-04-18 00:00:00,50C-32691,BOGOTÁ D.C.,RESCILIACIÓN,12,50C,11001-50C-032691-00012-00151-2016,0,0,0,URBANO,,2016
Ciudades y aglomeraciones,314,1,1,BOGOTÁ D.C.,0,11001,01-ESCRITURA 6649 DE 19-12-2017; NOTARIA NOVENA DE BOGOTA D. C.,,1972-04-22 00:00:00,2017-12-28 00:00:00,50C-32975,BOGOTÁ D.C.,CONSTITUCIÓN DE USUFRUCTO,11,50C,11001-50C-032975-00011-00314-2017,0,0,0,URBANO,,2017
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 6649 DE 19-12-2017; NOTARIA NOVENA DE BOGOTA D. C.,,1972-04-22 00:00:00,2017-12-28 00:00:00,50C-32976,BOGOTÁ D.C.,COMPRAVENTA,10,50C,11001-50C-032976-00010-00125-2017,0,0,0,URBANO,,2017
Ciudades y aglomeraciones,314,1,1,BOGOTÁ D.C.,0,11001,01-ESCRITURA 6649 DE 19-12-2017; NOTARIA NOVENA DE BOGOTA D. C.,,1972-04-22 00:00:00,2017-12-28 00:00:00,50C-32976,BOGOTÁ D.C.,CONSTITUCIÓN DE USUFRUCTO,11,50C,11001-50C-032976-00011-00314-2017,0,0,0,URBANO,,2017
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 6649 DE 19-12-2017; NOTARIA NOVENA DE BOGOTA D. C.,,1972-04-22 00:00:00,2017-12-28 00:00:00,50C-32977,BOGOTÁ D.C.,COMPRAVENTA,10,50C,11001-50C-032977-00010-00125-2017,0,0,0,URBANO,,2017
Ciudades y aglomeraciones,314,1,1,BOGOTÁ D.C.,0,11001,01-ESCRITURA 6649 DE 19-12-2017; NOTARIA NOVENA DE BOGOTA D. C.,,1972-04-22 00:00:00,2017-12-28 00:00:00,50C-32977,BOGOTÁ D.C.,CONSTITUCIÓN DE USUFRUCTO,11,50C,11001-50C-032977-00011-00314-2017,0,0,0,URBANO,,2017
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 978 DE 03-06-2016; NOTARIA CUARENTA Y UNO DE BOGOTA D. C.,,1972-04-20 00:00:00,2016-06-14 00:00:00,50C-33653,BOGOTÁ D.C.,COMPRAVENTA,10,50C,11001-50C-033653-00010-00125-2016,0,0,0,URBANO,,2016
Ciudades y aglomeraciones,212,0,1,BOGOTÁ D.C.,1,11001,04-OFICIO 5661320181 DE 30-07-2015; SECRETARIA DE MOVILIDAD DE BOGOTA D. C.,,1972-06-12 00:00:00,2015-08-21 00:00:00,50C-53181,BOGOTÁ D.C.,VALORIZACIÓN,28,50C,11001-50C-053181-00028-00212-2015,0,0,0,URBANO,,2015
Ciudades y aglomeraciones,907,1,0,BOGOTÁ D.C.,0,11001,01-ESCRITURA 1250 DE 03-07-2019; NOTARIA CUARENTA Y TRES DE BOGOTA D. C.,,1972-05-29 00:00:00,2019-07-18 00:00:00,50C-53519,BOGOTÁ D.C.,CAMBIO DE RAZÓN SOCIAL,29,50C,11001-50C-053519-00029-00907-2019,0,0,0,URBANO,,2019
Ciudades y aglomeraciones,125,1,1,BOGOTÁ D.C.,1,11001,01-ESCRITURA 1250 DE 03-07-2019; NOTARIA CUARENTA Y TRES DE BOGOTA D. C.,,1972-05-29 00:00:00,2019-07-18 00:00:00,50C-53519,BOGOTÁ D.C.,COMPRAVENTA,30,50C,11001-50C-053519-00030-00125-2019,0,0,0,URBANO,,2019
Ciudades y aglomeraciones,212,0,1,BOGOTÁ D.C.,1,11001,04-OFICIO 4411 DE 15-06-2016; INSTITUTO DE DESARROLLO URBANO - IDU DE BOGOTA D. C.,,1972-05-29 00:00:00,2016-06-17 00:00:00,50C-53520,BOGOTÁ D.C.,VALORIZACIÓN,3,50C,11001-50C-053520-00003-00212-2016,0,0,0,URBANO,,2016
